pair_dir,runs_rows,summaries_rows,origin_count,pair_id_count,powertrain_nonempty,facility_id_nonempty,retail_id_nonempty,status,issues
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1210_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1211_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1211_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1212_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1212_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1213_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1213_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1214_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1214_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1215_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1215_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1216_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1216_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1217_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1217_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1218_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1218_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1219_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1219_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1220_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_dry/analysis_core_dry_bev/pair_ANALYSIS_CORE_bev_seed_1220_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
