"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"131","131",13189.313116,648.796661,25,"food_sctg_01_08","CENTRALIZED"
"179","223",798.849914,648.305878,594.39721708476,"food_sctg_01_08","CENTRALIZED"
"487","341",332.040169,648.173507,1250,"food_sctg_01_08","CENTRALIZED"
"319","311",5032.010054,640.24328,74.9658479219724,"food_sctg_01_08","CENTRALIZED"
"229","229",4838.218969,632.593631,71.3530982344838,"food_sctg_01_08","CENTRALIZED"
"486","061",413.955707,630.805428,1250,"food_sctg_01_08","CENTRALIZED"
"061","486",409.775508,629.176702,1250,"food_sctg_01_08","CENTRALIZED"
"261","061",274.780478,626.490274,1750,"food_sctg_01_08","CENTRALIZED"
"061","484",440.740767,624.199254,875,"food_sctg_01_08","CENTRALIZED"
"379","519",2630.293191,621.51752,105.477273284323,"food_sctg_01_08","CENTRALIZED"
"319","209",2346.940348,613.108141,117.35724192339,"food_sctg_01_08","CENTRALIZED"
"399","061",267.898431,605.297022,1750,"food_sctg_01_08","CENTRALIZED"
"531","539",3935.981818,598.940253,75,"food_sctg_01_08","CENTRALIZED"
"129","019",1487.461323,598.185601,162.168873633967,"food_sctg_01_08","CENTRALIZED"
"472","061",293.329102,594.769542,1750,"food_sctg_01_08","CENTRALIZED"
"081","089",3638.904895,593.220201,75,"food_sctg_01_08","CENTRALIZED"
"179","190",1976.030335,587.847323,130.725115221979,"food_sctg_01_08","CENTRALIZED"
"129","122",3261.87081,582.414432,75,"food_sctg_01_08","CENTRALIZED"
"299","061",351.319745,582.3221,1250,"food_sctg_01_08","CENTRALIZED"
"190","559",2067.33682,578.68856,175,"food_sctg_01_08","CENTRALIZED"
"183","189",3953.945118,576.515969,75,"food_sctg_01_08","CENTRALIZED"
"209","171",795.430915,564.177617,413.389492631173,"food_sctg_01_08","CENTRALIZED"
"487","171",407.149293,562.297339,875,"food_sctg_01_08","CENTRALIZED"
"484","484",11226.793212,561.373452,25,"food_sctg_01_08","CENTRALIZED"
"190","271",2223.34921,552.630768,96.1408262312514,"food_sctg_01_08","CENTRALIZED"
"409","402",3121.617506,551.818022,75,"food_sctg_01_08","CENTRALIZED"
"129","124",4715.177016,550.42708,57.8283200449839,"food_sctg_01_08","CENTRALIZED"
"061","539",445.38815,548.430031,875,"food_sctg_01_08","CENTRALIZED"
"181","179",2460.01134,546.571543,75,"food_sctg_01_08","CENTRALIZED"
"261","399",2779.024748,540.035154,75,"food_sctg_01_08","CENTRALIZED"
"299","064",281.34383,539.909608,1250,"food_sctg_01_08","CENTRALIZED"
"560","560",2946.504751,538.621018,75,"food_sctg_01_08","CENTRALIZED"
"062","069",2858.733846,537.43989,75.2061604653489,"food_sctg_01_08","CENTRALIZED"
