origin_id,dest_id,road_distance_miles,road_duration_minutes,road_duration_minutes_static,status,error,generated_at_utc,api_provider,routing_preference
261,269,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:27Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
064,061,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:28Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
559,551,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:28Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
539,061,944.784334,919.933333,931.700000,OK,"",2026-03-15T08:27:28Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
171,061,2073.059582,1803.100000,1803.883333,OK,"",2026-03-15T08:27:29Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,064,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:30Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
409,489,374.236956,344.283333,344.483333,OK,"",2026-03-15T08:27:30Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,319,373.398726,354.900000,356.450000,OK,"",2026-03-15T08:27:30Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
471,061,2150.631562,1877.866667,1887.200000,OK,"",2026-03-15T08:27:31Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,171,968.864332,839.116667,855.500000,OK,"",2026-03-15T08:27:32Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
172,179,253.175207,245.566667,246.883333,OK,"",2026-03-15T08:27:32Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
262,269,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:33Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
222,223,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""30s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:33Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,061,1835.965462,1588.333333,1595.383333,OK,"",2026-03-15T08:27:33Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
319,081,475.168764,444.533333,447.666667,OK,"",2026-03-15T08:27:34Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
201,209,350.119676,332.833333,339.216667,OK,"",2026-03-15T08:27:35Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
487,061,1522.151883,1320.266667,1339.766667,OK,"",2026-03-15T08:27:35Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,423,2848.082200,2471.566667,2493.800000,OK,"",2026-03-15T08:27:36Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
380,279,308.367882,297.483333,288.316667,OK,"",2026-03-15T08:27:37Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,321,533.317923,571.983333,572.266667,OK,"",2026-03-15T08:27:37Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,486,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:38Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
393,399,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:38Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,311,373.398726,354.866667,356.450000,OK,"",2026-03-15T08:27:38Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
479,139,342.778175,314.333333,323.950000,OK,"",2026-03-15T08:27:39Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
