"scenario_id","variant_id","powertrain","trailer_type","refrigeration_mode","metric","mean","var","p05","p50","p95","source_path"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","ratio",1.6366010515047,0.0108597714904946,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_dry",4.91287074289661,5.85537242899868,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_reefer",8.01867148300561,15.7251514352483,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","diff_gco2",3.105800740109,2.57894213500086,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","ratio",1.63400450651487,0.0104132492595896,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.8648625401164,1.00656976163734,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",4.66537734345787,2.68486643324687,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.80051480334146,0.462418742357896,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_DRY","bev","dry_van","none","ratio",1.63078081358496,0.0103699124994749,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_dry",2.89012415892945,1.04408501489901,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_reefer",4.69249679398788,2.74480737996688,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_REEFER","bev","refrigerated","refrigerated","diff_gco2",1.80237263505843,0.464527909771535,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_BEV_REEFER","bev","refrigerated","refrigerated","ratio",1.6268349570408,0.0106532078241139,NA,NA,NA,"outputs/local/REGIONALIZED_BEV_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_dry",2.88962172786176,0.955968940926539,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_reefer",4.71694975652849,2.53137013558059,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_DRY","diesel","dry_van","none","diff_gco2",1.82732802866672,0.436993017769042,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_DRY","diesel","dry_van","none","ratio",1.6366010515047,0.0108597714904941,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_DRY/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_dry",2.85463623462827,0.96957573001548,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_reefer",4.65845484972603,2.61146357739441,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","diff_gco2",1.80381861509776,0.456110732944012,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_REEFER/results_summary.csv"
"REGIONALIZED","REGIONALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","ratio",1.63400450651487,0.0104132492595901,NA,NA,NA,"outputs/local/REGIONALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.90541281576697,2.01790631486007,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",4.5553839706866,5.06561121780931,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.64997115491963,0.752118988729157,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.56635729797813,0.0091317479216797,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_dry",2.86750006132461,1.923105218795,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_reefer",4.74906655400419,5.27014122137909,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","diff_gco2",1.88156649267958,0.895236647892524,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","ratio",1.65988727748267,0.0110084218566469,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_dry",4.91577566520849,5.89826307354512,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_reefer",7.71106245434237,14.5385713694277,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","diff_gco2",2.79528678913388,2.09642709898236,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","ratio",1.57078847676865,0.00967330978231207,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_dry",4.9864836345028,5.95569496589918,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_reefer",8.13741303638192,15.9299317322686,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","diff_gco2",3.15092940187913,2.60524117971884,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","ratio",1.63446985935813,0.0109258640751171,NA,NA,NA,"outputs/pilot_base/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.9290689469732,1.82957316941278,NA,NA,NA,"outputs/real_ok/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",4.58843586045277,4.58352050976848,NA,NA,NA,"outputs/real_ok/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.65936691347957,0.687050320569363,NA,NA,NA,"outputs/real_ok/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.56919103313774,0.0105401339188327,NA,NA,NA,"outputs/real_ok/results_summary.csv"
