replicate_id,pair_id,scenario_name,powertrain,origin_name,destination_name,reefer_on,shared_seed,traffic_state_id,departure_state_id,ambient_state_id,route_id,base_route_distance_miles,trip_distance_miles,trip_duration_hours,congestion_delay_hours,refrigeration_runtime_hours,diesel_gallons,traction_electricity_kwh,charging_events,charging_energy_kwh,charging_time_hours,total_trip_co2_kg,payload_kg_delivered,energy_density_kcal_per_kg,total_kcal_delivered,co2_per_1000kcal
18,DISTRIBUTION_DAVIS_bev_seed_4617,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4617,stochastic_tm0.9328_qd33.89,seed_4617,ambient_46.93,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,149.126770257556,1.08037124843904,149.126770257556,0,4182.61344756704,16,4361.42334812085,110.29339227891,2086.48955163149,5307.030729,2747.56364564095,14581404.6972998,0.143092493140792
18,DISTRIBUTION_DAVIS_diesel_seed_4617,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4617,stochastic_tm0.9328_qd33.89,seed_4617,ambient_46.93,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,40.6352511402263,1.64645350303324,40.6352511402263,277.299184549476,0,0,0,0,4205.77733304964,5307.030729,2747.56364564095,14581404.6972998,0.288434305223589
19,DISTRIBUTION_DAVIS_bev_seed_4618,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4618,stochastic_tm0.9363_qd22.41,seed_4618,ambient_47.34,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,86.2633360981354,0.373477470640406,0,0,3708.30841019286,15,3708.30841019286,49.6888117589177,1907.58495013479,16274.8942356,3124.05999363318,50843745.9820492,0.0375185760468609
19,DISTRIBUTION_DAVIS_diesel_seed_4618,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4618,stochastic_tm0.9363_qd22.41,seed_4618,ambient_47.34,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,38.0169840915728,1.02594435624799,0,257.568907336808,0,0,0,0,4004.65045322625,16274.8942356,3124.05999363318,50843745.9820492,0.078763875003233
19,DISTRIBUTION_DAVIS_bev_seed_4618,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4618,stochastic_tm0.9363_qd22.41,seed_4618,ambient_47.34,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,131.260120782834,2.08439173149834,131.260120782834,0,3870.61624170106,16,4054.45497838655,91.3738628664295,2085.64564816416,2918.86690095,2151.45721974526,6279817.26752434,0.332118843481313
19,DISTRIBUTION_DAVIS_diesel_seed_4618,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4618,stochastic_tm0.9363_qd22.41,seed_4618,ambient_47.34,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,39.0618994729482,0.373477470640406,39.0618994729481,292.34442716295,0,0,0,0,4359.07783617385,2918.86690095,2151.45721974526,6279817.26752434,0.694140872333425
20,DISTRIBUTION_DAVIS_bev_seed_4619,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4619,stochastic_tm0.9721_qd23.16,seed_4619,ambient_97.45,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,92.9650890544538,0.386042925736002,0,0,3892.73192803783,15,3892.73192803783,57.7372933908916,1000.93634379009,16274.8942356,3390.19478200787,55175061.5152611,0.0181411006404268
20,DISTRIBUTION_DAVIS_diesel_seed_4619,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4619,stochastic_tm0.9721_qd23.16,seed_4619,ambient_97.45,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,36.2201864152859,0.386042925736002,0,239.589353826708,0,0,0,0,3821.48510453163,16274.8942356,3390.19478200787,55175061.5152611,0.0692610936822359
20,DISTRIBUTION_DAVIS_bev_seed_4619,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4619,stochastic_tm0.9721_qd23.16,seed_4619,ambient_97.45,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,155.71550378318,0.813856559366874,155.71550378318,0,4063.1117368331,20,4749.00701826793,118.518019730573,1221.10995808915,5572.38226545,2358.20524160062,13140821.0665865,0.0929249361133223
20,DISTRIBUTION_DAVIS_diesel_seed_4619,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4619,stochastic_tm0.9721_qd23.16,seed_4619,ambient_97.45,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,37.6226635328689,0.386042925736002,37.622663532869,286.66049379573,0,0,0,0,4301.14216969672,5572.38226545,2358.20524160062,13140821.0665865,0.327311523983333
